Fecha;Producto;unidades;Impuesto Componente Base;Impuesto Componente Variable;Credito fiscal Componente Variable;Impuesto Específico Resultante
05-07-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
05-07-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
05-07-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
05-07-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m;1,93;0;;1,9300
12-07-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
12-07-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
12-07-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
12-07-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
19-07-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
19-07-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
19-07-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
19-07-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
26-07-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
26-07-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
26-07-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
26-07-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
02-08-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
02-08-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
02-08-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
02-08-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
09-08-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
09-08-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
09-08-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
09-08-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
16-08-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
16-08-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
16-08-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
16-08-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
23-08-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
23-08-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
23-08-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
23-08-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
30-08-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
30-08-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
